Valuation pair,"[(1, 0), (1, 1), (1, 2), (2, 0), (2, 1), (2, 2), (3, 0), (3, 1), (3, 2)]"
Joint density,BOM utility,SOM utility,FB GFT,Ratio of BOM utility + SOM utility to FB
"[3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 3.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 2.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 3.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 3.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 1.0, 3.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 2.0, 3.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 3.0, 3.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 2.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 1.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 2.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 3.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 1.0, 3.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 2.0, 3.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
"[3.0, 3.0, 3.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0]",11.0,11.0,17.0,1.2941176470588236
